NUMBER	NAME	ELEV	LAT	LON
211004	Colli Albani	949	41.73	12.7
341012	Comondu-La Purisima	780	26	-111.92
344120	Concepcion	1700	11.538	-85.622
357090	Copahue	2953	-37.856	-71.183
221290	Corbetti Caldera	2320	7.193	38.39
355101	Cordon de Puntas Negras	5852	-23.743	-67.534
382002	Corvo	718	39.699	-31.111
344010	Cosiguina	872	12.98	-87.57
352050	Cotopaxi	5911	-0.677	-78.436
358025	Crater Basalt Volcanic Field	1344	-42.018	-70.194
322160	Crater Lake	2487	42.93	-122.12
324020	Craters of the Moon	2005	43.42	-113.5
272010	Cuernos de Negros	1862	9.25	123.17
352003	Cuicocha	3246	0.308	-78.364
342111	Cuilapa-Barbarena	1454	14.33	-90.4
351100	Cumbal	4764	0.95	-77.87
341098	"Cumbres,  Las"	3940	19.15	-97.27
221113	Dabbahu	1401	12.595	40.48
221114	Dabbayra	1302	12.38	40.07
252040	Dakataua	408	-5.094	150.094
221141	Dama Ali	1068	11.28	41.63
232010	Damavand	5670	35.951	52.109
303040	Dariganga Volcanic Field	1778	45.754	114.279
353030	Darwin	1330	-0.18	-91.28
261210	"Daun, Bukit"	2467	-3.38	102.37
322100	Davis Lake	2163	43.57	-121.82
253060	Dawson Strait Group	500	-9.62	150.88
390030	Deception Island	602	-63.001	-60.652
261230	Dempo	3142	-4.016	103.121
357050	Descabezado Grande	3953	-35.58	-70.75
322120	Devils Garden	1698	43.512	-120.861
231120	"Dhamar, Harras of"	3500	14.57	44.67
360080	"Diables, Morne aux"	861	15.612	-61.43
360090	"Diablotins, Morne"	1430	15.503	-61.397
322170	Diamond Craters	1435	43.1	-118.75
263200	Dieng Volcanic Complex	2565	-7.2	109.879
300022	Diky Greben	1040	51.452	156.978
357067	Domuyo	4702	-36.638	-70.432
221100	Dubbi	1625	13.579	41.809
268010	Dukono	1229	1.693	127.894
341022	Durango Volcanic Field	2075	24.15	-104.45
300110	Dzenzursky	2285	53.637	158.922
284201	East Diamante	-127	15.93	145.67
356011	Easter Island	511	-27.15	-109.38
290380	Ebeko	1103	50.686	156.014
222080	"Eburru, Ol Doinyo"	2856	-0.65	36.22
353011	Ecuador	790	-0.02	-91.546
315040	Edgecumbe	970	57.05	-135.75
320060	Edziza	2786	57.72	-130.63
214010	Elbrus	5642	43.351	42.442
300590	Elovsky	1381	57.55	160.53
312020	Emmons Lake	1436	55.341	-162.073
222051	Emuruangogolak	1285	1.5	36.33
331010	Endeavour Segment	-2050	47.95	-129.1
257060	Epi	833	-16.68	168.37
213010	Erciyes Dagi	3864	38.531	35.447
390020	Erebus	3794	-77.53	167.17
221080	Erta Ale	613	13.6	40.67
285011	Esan	618	41.805	141.166
374020	Esjufjoll	1620	64.25	-16.583
344131	Esteli	899	13.17	-86.4
211060	Etna	3295	37.748	14.999
